Q1,Q5_2A1,Q5_2A2,Q5_2A3,Q9_2A1,Q9_2A2,Q9_2A3,Q10_1B1,Q10_1B2,Q10_1B3,Q10_1B4,Q10_1B5,Q10_1B6,Q10_1B7,Q10_1B8,Q10_1B9,Q10_1B10,Q10_1B11,Q10_1B12,Q10_1B13,Q10_1B14,Q10_1B15,Q10_1B16,Q10_1B17,Q10_2A1,Q10_2A2,Q10_2A3,Q14_1T,CQ14_2_1,CQ14_2_2,CQ14_2_3,CQ14_2_4,CQ14_2_5,CQ14_2_6,CQ14_2_7,ID,D_MON,D_COU1,D_GEN,D_AGE,D_Q5_1,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A10,Q15_2A12,Q16,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q14_2_10,D_YEAR
3.0,,,,11.0,,,1.0,,,,,,,,,,,,,,,,,여의도 (63빌딩),,,529.035,3.0,,1.0,4.0,2.0,1.0,1.0,3.0,1.0,11.0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,0.0,0.0,4.0,5.0,4.0,0.0,3.0,1.0,,,,,1.0,2018-01
1.0,1.0,2.0,12.0,1.0,2.0,9.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,강남역,666.1200000000001,3.0,,3.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,,3.0,,,3.0,2018-02
5.0,2.0,5.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,,1039.5,2.0,,5.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,1.0,,,,,1.0,2018-03
3.0,2.0,1.0,5.0,1.0,8.0,9.0,1.0,,,,,,,,,,,,,,,,,여의도 (63빌딩),"이태원 (이태원 세계 음식거리, 한남동)",명동/남대문/북창,1703.9587500000002,1.0,,5.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2.0,,,,2.0,2018-04
1.0,3.0,,,3.0,4.0,,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,종로/청계,578.0775,1.0,,4.0,3.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,4.0,1.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,,2.0,,,,2.0,2018-05
1.0,10.0,,,2.0,1.0,4.0,1.0,,,,,,,8.0,,,,,,,,,,명동/남대문/북창,동대문 패션타운,에버랜드,789.5999999999999,,3.0,4.0,1.0,1.0,1.0,1.0,3.0,6.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,,,3.0,,,2.0,2018-06
2.0,1.0,2.0,4.0,1.0,2.0,8.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,,,1749.15,1.0,,5.0,4.0,1.0,1.0,1.0,3.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,,,,,1.0,2018-07
7.0,,,,2.0,4.0,9.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,종로/청계,,2556.06,1.0,,5.0,4.0,1.0,1.0,1.0,3.0,8.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,,4.0,2018-08
2.0,,,,4.0,,,1.0,,,,,,,,,,11.0,,,,,,,명동/남대문/북창,아산시온천,,1315.7999999999995,3.0,,5.0,4.0,2.0,1.0,1.0,3.0,9.0,2.0,1.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,1.0,,,,,1.0,2018-09
1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,신촌/홍대주변,명동/남대문/북창,동대문 패션타운,428.6350000000001,2.0,,3.0,4.0,1.0,1.0,1.0,3.0,10.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,,,3.0,,,1.0,2018-10
