Q1,Q5_2A1,Q5_2A2,Q5_2A3,Q9_2A1,Q9_2A2,Q9_2A3,Q10_1B1,Q10_1B2,Q10_1B3,Q10_1B4,Q10_1B5,Q10_1B6,Q10_1B7,Q10_1B8,Q10_1B9,Q10_1B10,Q10_1B11,Q10_1B12,Q10_1B13,Q10_1B14,Q10_1B15,Q10_1B16,Q10_1B17,Q10_2A1,Q10_2A2,Q10_2A3,Q14_1T,CQ14_2_1,CQ14_2_2,CQ14_2_3,CQ14_2_4,CQ14_2_5,CQ14_2_6,CQ14_2_7,ID,D_MON,D_COU1,D_GEN,D_AGE,D_Q5_1,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A10,Q15_2A12,Q16,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q14_2_10,D_YEAR
1.0,1.0,2.0,6.0,5.0,2.0,1.0,1.0,,,,,,,8.0,9.0,,,,,,,,,춘천 (남이섬),코엑스,신촌/홍대주변,1046.178,4.0,,4.0,3.0,2.0,1.0,1.0,458.0,12.0,17.0,2.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,,2.0,,,,3.0,2018-12
2.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,,,,,,,,,,,,,,,해운대 일대,강남역,명동/남대문/북창,1850.0,4.0,,5.0,4.0,3.0,1.0,1.0,459.0,1.0,9.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,,,3.0,,,1.0,2018-01
2.0,,,,2.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,잠실,명동/남대문/북창,동대문 패션타운,1274.116,4.0,,3.0,4.0,3.0,1.0,1.0,459.0,3.0,10.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,,,4.0,,3.0,2018-03
10.0,,,,10.0,11.0,1.0,,,,,,6.0,,,,,,,,,,,,유성,,,1676.025,5.0,,2.0,3.0,1.0,1.0,1.0,459.0,4.0,3.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,,,,,3.0,2018-04
1.0,2.0,6.0,4.0,2.0,8.0,3.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,신촌/홍대주변,"이태원 (이태원 세계 음식거리, 한남동)",2355.0,3.0,,2.0,4.0,1.0,1.0,3.0,459.0,5.0,14.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,,,3.0,,,4.0,2018-05
1.0,1.0,7.0,6.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,신촌/홍대주변,강남역,,342.49600000000004,3.0,,1.0,3.0,1.0,1.0,1.0,459.0,6.0,10.0,1.0,5.0,1.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,0.0,5.0,1.0,,,,,1.0,2018-06
1.0,3.0,8.0,3.0,3.0,4.0,2.0,1.0,,,4.0,,,,,,,,,,,,,,명동/남대문/북창,종로/청계,공항주변 (바닷가)/인천대교/용궁사,500.0,2.0,,3.0,4.0,1.0,1.0,1.0,459.0,7.0,14.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,3.0,,,1.0,2018-07
1.0,,,,4.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,종로/청계,"이태원 (이태원 세계 음식거리, 한남동)",명동/남대문/북창,1550.0,3.0,,3.0,4.0,2.0,1.0,1.0,459.0,8.0,9.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,1.0,,,,,1.0,2018-08
1.0,4.0,3.0,1.0,3.0,4.0,1.0,1.0,2.0,,,,,,,9.0,,,,,14.0,,16.0,,"설악산, 속초, 양양 (설악산 국립공원)",명동/남대문/북창,[제주],1287.4133333333334,4.0,,4.0,4.0,4.0,3.0,1.0,459.0,9.0,10.0,2.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,,,3.0,,,1.0,2018-09
1.0,1.0,6.0,,4.0,2.0,8.0,1.0,,,,,,,,,,,,,,,,,광화문광장,명동/남대문/북창,"이태원 (이태원 세계 음식거리, 한남동)",592.5,1.0,,4.0,3.0,1.0,1.0,1.0,459.0,10.0,9.0,1.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,,,3.0,,,3.0,2018-10
12.0,,,,3.0,11.0,,1.0,,,,,6.0,,8.0,,,,,,,,,,성남 (판교/카페거리/남한산성),유성,,725.6100000000001,3.0,,1.0,4.0,2.0,1.0,1.0,459.0,11.0,10.0,1.0,4.0,3.0,5.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,5.0,,,,4.0,,3.0,2018-11
4.0,,,,2.0,4.0,3.0,1.0,,,,,,,8.0,,,,,,,,,,신촌/홍대주변,수원 화성,명동/남대문/북창,1330.0,4.0,,4.0,4.0,1.0,1.0,1.0,459.0,12.0,9.0,2.0,4.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,,,,,3.0,2018-12
3.0,,,,11.0,,,1.0,,,,,,,,,,,,,,,,,신촌/홍대주변,,,280.0,3.0,,1.0,2.0,1.0,1.0,1.0,460.0,1.0,9.0,1.0,5.0,3.0,3.0,4.0,5.0,4.0,0.0,4.0,4.0,5.0,5.0,4.0,5.0,1.0,,,,,1.0,2018-01
1.0,1.0,2.0,5.0,1.0,10.0,5.0,1.0,,,,,,,,9.0,,,,,,,,,스키장 (용평 리조트/피닉스파크/비발디 파크),춘천 (남이섬),명동/남대문/북창,2231.2499999999995,,5.0,5.0,1.0,1.0,1.0,1.0,460.0,2.0,18.0,1.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0,4.0,5.0,,,,4.0,,1.0,2018-02
3.0,10.0,12.0,3.0,3.0,2.0,6.0,1.0,,,,,,,,,,,,,14.0,,16.0,,[제주],"경주시 (불국사, 양동마을, 보문관광 단지)",종로/청계,660.365,3.0,,1.0,4.0,2.0,1.0,1.0,460.0,3.0,10.0,1.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,,2.0,,,,1.0,2018-03
1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,잠실,한강/유람선,4116.294000000001,5.0,,5.0,4.0,1.0,1.0,1.0,460.0,4.0,3.0,2.0,5.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,,,3.0,,,2.0,2018-04
3.0,6.0,2.0,1.0,2.0,4.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,용궁사/기장,해운대 일대,강남역,940.35601,1.0,,4.0,4.0,3.0,1.0,4.0,460.0,5.0,14.0,2.0,3.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,1.0,,,,,1.0,2018-05
2.0,4.0,12.0,,1.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,신촌/홍대주변,강남역,잠실,404.768,1.0,,1.0,4.0,1.0,1.0,1.0,460.0,6.0,10.0,2.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,,,3.0,,,3.0,2018-06
1.0,3.0,4.0,10.0,3.0,4.0,5.0,1.0,,,4.0,,,,8.0,,,,,,,,,,에버랜드,수원 화성,공항주변 (바닷가)/인천대교/용궁사,219.181,1.0,,1.0,4.0,1.0,1.0,1.0,460.0,7.0,6.0,2.0,3.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,,,,,1.0,2018-07
200.0,,,,1.0,11.0,,1.0,,3.0,,,,,,,,,,,14.0,,,,명동/남대문/북창,구미,"동성로 (근대골목, 김광석길, 약령시)",3139.2180000000003,5.0,,1.0,4.0,2.0,1.0,1.0,460.0,11.0,10.0,1.0,6.0,3.0,2.0,5.0,5.0,4.0,0.0,4.0,5.0,5.0,5.0,0.0,5.0,1.0,,,,,1.0,2018-11
1.0,2.0,1.0,4.0,10.0,2.0,4.0,1.0,,,,,,,8.0,,,,,,,,,,명동/남대문/북창,신촌/홍대주변,코엑스,479.6250000000001,2.0,,3.0,3.0,1.0,1.0,1.0,460.0,12.0,3.0,1.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,,2.0,,,,3.0,2018-12
1.0,1.0,2.0,7.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,16.0,,[제주],명동/남대문/북창,종로/청계,4138.75,4.0,,5.0,4.0,5.0,1.0,1.0,461.0,1.0,4.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,,2.0,,,,1.0,2018-01
1.0,12.0,4.0,3.0,10.0,4.0,6.0,1.0,,,,,,,,9.0,,,,,,,,,스키장 (용평 리조트/피닉스파크/비발디 파크),명동/남대문/북창,한강/유람선,2849.9999999999995,,5.0,5.0,1.0,1.0,1.0,1.0,461.0,2.0,18.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,,,,4.0,,1.0,2018-02
2.0,13.0,,,5.0,8.0,4.0,1.0,,,,,,,,,,,,,,,,,종로/청계,코엑스,강남역,406.25,2.0,,1.0,4.0,2.0,1.0,1.0,461.0,3.0,9.0,1.0,3.0,1.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,,,3.0,,,2.0,2018-03
2.0,2.0,4.0,7.0,2.0,9.0,8.0,1.0,,,,,,,8.0,,,,,,,,,,잠실,코엑스,에버랜드,2350.0,3.0,,5.0,4.0,3.0,1.0,1.0,461.0,5.0,14.0,2.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,,,,,1.0,2018-05
1.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,"이태원 (이태원 세계 음식거리, 한남동)",신촌/홍대주변,242.849222,1.0,,1.0,3.0,1.0,1.0,1.0,461.0,6.0,17.0,2.0,3.0,1.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,,2.0,,,,3.0,2018-06
1.0,6.0,2.0,1.0,2.0,5.0,,1.0,,,,,,,,,,,,,,,,,신촌/홍대주변,코엑스,명동/남대문/북창,637.2199999999999,1.0,,4.0,3.0,2.0,1.0,1.0,461.0,7.0,6.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,,2.0,,,,2.0,2018-07
2.0,1.0,3.0,4.0,3.0,4.0,,1.0,2.0,,,,,,,,,,,,,,,,명동/남대문/북창,종로/청계,해운대 일대,405.344,3.0,,1.0,4.0,1.0,1.0,1.0,461.0,9.0,10.0,2.0,2.0,1.0,5.0,3.0,4.0,4.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,,,3.0,,,2.0,2018-09
1.0,7.0,,,8.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,신촌/홍대주변,명동/남대문/북창,"이태원 (이태원 세계 음식거리, 한남동)",240.0,1.0,,1.0,3.0,1.0,1.0,1.0,461.0,10.0,9.0,1.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,,,,,2.0,2018-10
2.0,2.0,3.0,4.0,4.0,1.0,5.0,1.0,,,,,,,8.0,9.0,,,,,,,,,춘천 (남이섬),동대문 패션타운,강남역,731.0,,3.0,4.0,1.0,1.0,1.0,1.0,461.0,11.0,19.0,1.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,,2.0,,,,1.0,2018-11
6.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,신촌/홍대주변,동대문 패션타운,1432.48,,4.0,5.0,4.0,1.0,1.0,1.0,461.0,12.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,,2.0,,,,1.0,2018-12
1.0,1.0,3.0,2.0,10.0,1.0,2.0,1.0,,,,,,,,9.0,,,,,,,,,스키장 (용평 리조트/피닉스파크/비발디 파크),동대문 패션타운,종로/청계,641.1608000000001,,3.0,3.0,1.0,1.0,1.0,1.0,462.0,2.0,18.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,4.0,,1.0,2018-02
1.0,2.0,3.0,1.0,8.0,1.0,2.0,1.0,,,,,,,8.0,,10.0,,,,,,,,에버랜드,단양,강남역,2231.724,,5.0,5.0,1.0,1.0,1.0,1.0,462.0,3.0,6.0,1.0,2.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,2.0,,,,2.0,2018-03
1.0,5.0,3.0,7.0,8.0,2.0,5.0,1.0,,,,,,,8.0,9.0,,,,,,,,,"고양 (고양 킨텍스, 김치스쿨, 원마운트)",에버랜드,춘천 (남이섬),685.4399999999999,,4.0,3.0,1.0,1.0,1.0,1.0,462.0,5.0,5.0,1.0,6.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2.0,,,,1.0,2018-05
1.0,2.0,3.0,4.0,4.0,8.0,2.0,1.0,,,4.0,,,,,,,,,,,,,,명동/남대문/북창,종로/청계,신촌/홍대주변,507.609652,2.0,,3.0,3.0,2.0,1.0,1.0,462.0,6.0,17.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,,2.0,,,,3.0,2018-06
1.0,,,,5.0,3.0,1.0,1.0,,,,,,,,,,,12.0,,,,,,동대문 패션타운,무주구천동,전주 (한옥마을),1888.7,,5.0,4.0,1.0,1.0,1.0,1.0,462.0,7.0,17.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,3.0,,,1.0,2018-07
1.0,10.0,4.0,1.0,1.0,8.0,4.0,1.0,,,,,,,8.0,,,,,,,,,,신촌/홍대주변,종로/청계,"이태원 (이태원 세계 음식거리, 한남동)",511.812202,2.0,,2.0,4.0,1.0,2.0,2.0,462.0,8.0,10.0,1.0,2.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,,,3.0,,,1.0,2018-08
1.0,4.0,,,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,광화문광장,"이태원 (이태원 세계 음식거리, 한남동)",795.392,3.0,,4.0,4.0,1.0,1.0,1.0,462.0,9.0,10.0,2.0,5.0,1.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,,2.0,,,,1.0,2018-09
4.0,,,,3.0,8.0,1.0,1.0,,,,,,,8.0,,,,,,,,,,"이태원 (이태원 세계 음식거리, 한남동)",강남역,수원 화성,2550.0,5.0,,2.0,4.0,1.0,1.0,4.0,462.0,10.0,9.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,,,,,1.0,2018-10
1.0,2.0,7.0,1.0,3.0,8.0,8.0,1.0,,,,,,,8.0,,,,,,,,,,잠실,동대문 패션타운,에버랜드,693.9504,3.0,,1.0,4.0,2.0,1.0,1.0,462.0,11.0,14.0,1.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,1.0,,,,,1.0,2018-11
2.0,1.0,12.0,10.0,1.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,감천문화마을,,,636.0,3.0,,3.0,4.0,2.0,1.0,1.0,463.0,3.0,6.0,1.0,3.0,1.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,,2.0,,,,2.0,2018-03
2.0,2.0,3.0,7.0,1.0,5.0,4.0,1.0,,,,,,,8.0,9.0,,,,,,,,,동대문 패션타운,신촌/홍대주변,"고양 (고양 킨텍스, 김치스쿨, 원마운트)",803.04,,3.0,4.0,1.0,1.0,1.0,1.0,463.0,5.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,2.0,,,,1.0,2018-05
6.0,7.0,,,1.0,2.0,8.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,"광진구 (건국 대학교, 건대 입구역)",2990.0,5.0,,4.0,4.0,3.0,1.0,1.0,463.0,6.0,17.0,1.0,4.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,,,3.0,,,3.0,2018-06
2.0,1.0,7.0,2.0,8.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,16.0,,신촌/홍대주변,명동/남대문/북창,[제주],1422.528,3.0,,4.0,4.0,4.0,1.0,1.0,463.0,9.0,10.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,,3.0,,,3.0,2018-09
1.0,,,,11.0,1.0,,1.0,,,,,,,8.0,9.0,,,,,,,,,김포,원주,,639.285276,4.0,,1.0,2.0,1.0,1.0,1.0,463.0,10.0,9.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,4.0,,3.0,2018-10
1.0,7.0,1.0,11.0,3.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,"이태원 (이태원 세계 음식거리, 한남동)",한강/유람선,명동/남대문/북창,2857.6,5.0,,5.0,4.0,3.0,1.0,1.0,463.0,11.0,14.0,1.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,,,,,1.0,2018-11
3.0,1.0,3.0,2.0,5.0,1.0,2.0,1.0,,,,,,,,9.0,,,,,,,,,춘천 (남이섬),신촌/홍대주변,명동/남대문/북창,1093.545,,4.0,4.0,1.0,1.0,1.0,1.0,463.0,12.0,3.0,1.0,3.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,,2.0,,,,2.0,2018-12
10.0,1.0,2.0,3.0,4.0,3.0,8.0,1.0,2.0,,,,,,,9.0,,,,,,,,,홍천,명동/남대문/북창,해운대 일대,1575.6246,1.0,,5.0,4.0,2.0,1.0,1.0,464.0,1.0,6.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,,,3.0,,,1.0,2018-01
1.0,2.0,3.0,,4.0,1.0,10.0,1.0,,,,,,,,9.0,,,,,,,,,춘천 (남이섬),명동/남대문/북창,종로/청계,1355.0,,5.0,2.0,1.0,1.0,1.0,1.0,464.0,2.0,18.0,1.0,5.0,1.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,,2.0,,,,1.0,2018-02
2.0,1.0,2.0,,2.0,4.0,8.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,종로/청계,강남역,1397.52228,4.0,,4.0,3.0,1.0,1.0,1.0,464.0,3.0,6.0,2.0,3.0,2.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,2.0,3.0,4.0,,2.0,,,,1.0,2018-03
1.0,2.0,1.0,8.0,2.0,4.0,6.0,1.0,,,4.0,,,,,,,,,,,,,,송도,"어시장 (소래포구, 인천종합",종로/청계,2738.901,1.0,,5.0,4.0,4.0,1.0,1.0,464.0,6.0,6.0,2.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,,,,,1.0,2018-06
2.0,3.0,10.0,3.0,4.0,14.0,3.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,강남역,58.4375,1.0,,1.0,2.0,1.0,1.0,1.0,464.0,7.0,17.0,1.0,3.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,,2.0,,,,1.0,2018-07
1.0,,,,14.0,4.0,12.0,1.0,2.0,,,,,,8.0,,,,12.0,,,,,,전주 (한옥마을),해운대 일대,한강/유람선,1500.0,4.0,,4.0,3.0,3.0,1.0,1.0,464.0,10.0,9.0,1.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,1.0,,,,,1.0,2018-10
3.0,1.0,2.0,,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,종로/청계,동대문 패션타운,명동/남대문/북창,329.62644,2.0,,3.0,3.0,1.0,1.0,1.0,464.0,11.0,14.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,,2.0,,,,1.0,2018-11
1.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,"이태원 (이태원 세계 음식거리, 한남동)",종로/청계,1380.0410000000002,4.0,,4.0,4.0,3.0,1.0,1.0,464.0,12.0,3.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,3.0,,,1.0,2018-12
3.0,1.0,2.0,5.0,1.0,2.0,8.0,1.0,,,,,,,,9.0,,,,,,,,,명동/남대문/북창,화천,종로/청계,831.708,2.0,,4.0,4.0,1.0,1.0,1.0,465.0,1.0,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,,,3.0,,,1.0,2018-01
1.0,3.0,6.0,,8.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,동대문 패션타운,"이태원 (이태원 세계 음식거리, 한남동)",종로/청계,632.00136,3.0,,4.0,3.0,1.0,1.0,1.0,465.0,2.0,18.0,2.0,2.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,,,3.0,,,1.0,2018-02
2.0,13.0,,,4.0,5.0,3.0,1.0,,,,,,,,,,11.0,,,,,,,신촌/홍대주변,종로/청계,동대문 패션타운,1272.0,1.0,,5.0,1.0,1.0,1.0,1.0,465.0,3.0,6.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,,1.0,2018-03
3.0,1.0,7.0,3.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,신촌/홍대주변,종로/청계,잠실,1344.0,4.0,,4.0,4.0,1.0,1.0,1.0,465.0,5.0,5.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,2.0,,,,1.0,2018-05
1.0,1.0,3.0,4.0,4.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,종로/청계,동대문 패션타운,3386.25,5.0,,5.0,4.0,2.0,1.0,1.0,465.0,6.0,6.0,2.0,5.0,1.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,,2.0,,,,1.0,2018-06
2.0,2.0,1.0,6.0,2.0,3.0,1.0,1.0,,,,,,,,9.0,,,,,,,,,명동/남대문/북창,신촌/홍대주변,잠실,1472.625,,4.0,4.0,1.0,1.0,3.0,1.0,465.0,7.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,,2.0,,,,2.0,2018-07
1.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,,,,,,,8.0,9.0,,,,,,,,,춘천 (남이섬),동대문 패션타운,명동/남대문/북창,1173.0,,5.0,3.0,1.0,1.0,1.0,1.0,465.0,8.0,18.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,,,,4.0,,1.0,2018-08
1.0,,,,5.0,4.0,14.0,1.0,,,,,,,,,,,,,,,,,종로/청계,동대문 패션타운,명동/남대문/북창,1205.0,,4.0,2.0,3.0,1.0,1.0,1.0,465.0,10.0,9.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,,,4.0,,3.0,2018-10
5.0,1.0,7.0,3.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,신촌/홍대주변,1982.5,2.0,,5.0,4.0,1.0,1.0,1.0,465.0,11.0,5.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,,,3.0,,,1.0,2018-11
2.0,1.0,2.0,3.0,2.0,3.0,8.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,잠실,703.45,,4.0,3.0,1.0,1.0,1.0,1.0,465.0,12.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,,2.0,,,,1.0,2018-12
3.0,6.0,11.0,12.0,4.0,2.0,1.0,1.0,,,4.0,,,,,,,,,,,,,,명동/남대문/북창,"이태원 (이태원 세계 음식거리, 한남동)",송도,456.3,3.0,,3.0,3.0,1.0,1.0,1.0,466.0,1.0,5.0,2.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,3.0,,,1.0,2018-01
1.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,종로/청계,동대문 패션타운,975.0,,4.0,4.0,1.0,1.0,1.0,1.0,466.0,2.0,18.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,,2.0,,,,1.0,2018-02
1.0,2.0,,,2.0,8.0,5.0,1.0,,,,,,,8.0,,,,,,,,,,명동/남대문/북창,동대문 패션타운,에버랜드,611.1,,3.0,2.0,3.0,1.0,1.0,1.0,466.0,5.0,6.0,1.0,4.0,1.0,5.0,5.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,5.0,1.0,,2.0,,,,2.0,2018-05
1.0,,,,2.0,11.0,,,,,4.0,,,,,,,,,,,,,,공항주변 (바닷가)/인천대교/용궁사,,,40.0,1.0,,1.0,2.0,1.0,1.0,1.0,466.0,6.0,9.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,,2.0,,,,1.0,2018-06
3.0,,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,강남역,여의도 (63빌딩),2367.1548,4.0,,4.0,4.0,4.0,1.0,1.0,466.0,7.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,,,,4.0,,3.0,2018-07
2.0,1.0,2.0,5.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,동대문 패션타운,명동/남대문/북창,코엑스,2104.5,4.0,,5.0,4.0,4.0,1.0,1.0,466.0,8.0,18.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,,,3.0,,,3.0,2018-08
